Album,Artist,Track Number,Track Name,Duration (ms)
William Tell,Steven Price,3,Wolfblood,161240
William Tell,Steven Price,4,Who Pursues You?,188320
William Tell,Steven Price,5,There Is No Justice In Law,78866
William Tell,Steven Price,6,Here I Am Nothing,105346
William Tell,Steven Price,7,One Bad Apple,276960
William Tell,Steven Price,8,Wear Your Freedom With Pride,316933
William Tell,Steven Price,9,It Is The Law,135560
William Tell,Steven Price,10,Your Beauty Conquered Me,67133
William Tell,Steven Price,11,Only Love,292480
William Tell,Steven Price,12,I Can Take This Shot,425200
William Tell,Steven Price,13,One Cup One Heart,82480
William Tell,Steven Price,14,This Is Nature's Revenge,269413
William Tell,Steven Price,15,He Is One Man,203026
William Tell,Steven Price,16,Let Us Believe Again,391866
William Tell,Steven Price,17,Your Inheritance Is Dust,212386
William Tell,Steven Price,18,Man The Gates,520013
William Tell,Steven Price,19,Is This Mercy?,214093
For Honor: Forged in War,Luc St-Pierre,1,The Sword of Ashfeld,270682
For Honor: Forged in War,Luc St-Pierre,2,A Knight's Duty,63011
For Honor: Forged in War,Luc St-Pierre,3,The Muramasa Blade,283345
For Honor: Forged in War,Luc St-Pierre,4,Masterful Sohei,63419
For Honor: Forged in War,Luc St-Pierre,5,The Shield of Svengard,241649
For Honor: Forged in War,Luc St-Pierre,6,A Song for Gudmundr,69071
For Honor: Forged in War,Luc St-Pierre,7,The Serpent Sword,261216
For Honor: Forged in War,Luc St-Pierre,8,Peace Offering,63638
See Her Again,Ding Ke,1,Hold it Down,96125
See Her Again,Ding Ke,2,The Deep City,125538
See Her Again,Ding Ke,3,A Thousand Dreams,106012
See Her Again,Ding Ke,4,Lost Among the Stars,250980
See Her Again,Ding Ke,5,Rubik's Cube Mansion,142222
See Her Again,Ding Ke,6,Infinite Mirrors,220367
See Her Again,Ding Ke,7,The Hesitant Maze,253030
See Her Again,Ding Ke,8,"Ripples, One After Another",204736
See Her Again,Ding Ke,9,Objects of the Past,97635
See Her Again,Ding Ke,10,Sunshine Always,241877
See Her Again,Ding Ke,11,The Fugitive,116571
See Her Again,Ding Ke,12,Peculiar and Odd,136421
See Her Again,Ding Ke,13,Murky Raindrops,160000
See Her Again,Ding Ke,14,Secrets Hidden in the Sands of Time,80853
See Her Again,Ding Ke,15,A Rust-Covered Face,168341
See Her Again,Ding Ke,16,The Invisible Door,146635
See Her Again,Ding Ke,17,Those Who Play Freely,165802
See Her Again,Ding Ke,18,The Poor Man’s Fantasy,138333
See Her Again,Ding Ke,19,Stories Hard to Tell,160437
See Her Again,Ding Ke,20,The Door at the End of Time,90078
Sebastian,Ilari Heinilä,1,Sebastian,70153
Sebastian,Ilari Heinilä,2,Excitement,99880
Sebastian,Ilari Heinilä,3,Daniel,125384
Sebastian,Ilari Heinilä,4,DreamyGuys,249503
Sebastian,Ilari Heinilä,5,DreamyGuys Part II,93213
Sebastian,Ilari Heinilä,6,Sebastian Reprise,25846
Sebastian,Ilari Heinilä,7,Not My Type,68560
Sebastian,Ilari Heinilä,8,Max Messed Up,171386
Sebastian,Ilari Heinilä,9,Peter,69040
Sebastian,Ilari Heinilä,10,Max Gets Fired,90461
Sebastian,Ilari Heinilä,11,Max or Sebastian,95086
Sebastian,Ilari Heinilä,12,Mixed Feelings,67562
Sebastian,Ilari Heinilä,13,Morning in Brussels,63028
Sebastian,Ilari Heinilä,14,Daniel Gets Mad,59076
Sebastian,Ilari Heinilä,15,Phone Call,57880
Sebastian,Ilari Heinilä,16,He Becomes I,87769
Star Wars: Skeleton Crew,Mick Giacchino,1,Skeleton Crew End Credits,246267
Star Wars: Skeleton Crew,Mick Giacchino,2,Galaxy's Worst Boarding Party,180566
Star Wars: Skeleton Crew,Mick Giacchino,3,Homeward Frowns,83857
Star Wars: Skeleton Crew,Mick Giacchino,4,Fernetic Ride,42564
Star Wars: Skeleton Crew,Mick Giacchino,5,Wimsical Thinking,117036
Star Wars: Skeleton Crew,Mick Giacchino,6,Shortcut,117247
Star Wars: Skeleton Crew,Mick Giacchino,7,Last Ditch Effort,68239
Star Wars: Skeleton Crew,Mick Giacchino,8,Fall Guys,61978
Star Wars: Skeleton Crew,Mick Giacchino,9,Open Sesame,191443
Star Wars: Skeleton Crew,Mick Giacchino,10,Awakening the Onyx Cinder,133292
Star Wars: Skeleton Crew,Mick Giacchino,11,It's a Starship?!,174721
Star Wars: Skeleton Crew,Mick Giacchino,12,Lost in Hyperspace,39879
Star Wars: Skeleton Crew,Mick Giacchino,13,"Aye, Robot Part I",118045
Star Wars: Skeleton Crew,Mick Giacchino,14,"Aye, Robot Part II",163707
Star Wars: Skeleton Crew,Mick Giacchino,15,Far from Home,95705
Star Wars: Skeleton Crew,Mick Giacchino,16,Port Borgo,106854
Star Wars: Skeleton Crew,Mick Giacchino,17,Not on At Attin Anymore,213316
Star Wars: Skeleton Crew,Mick Giacchino,18,Soup's Up,55264
Star Wars: Skeleton Crew,Mick Giacchino,19,Rock 'em Sock 'em Robot,133875
Star Wars: Skeleton Crew,Mick Giacchino,20,The Eye Rat's Prison Break,44002
Beyond Words: Verses of Change,Sid de la Cruz,1,Beyond Words Verses of Change,61133
Beyond Words: Verses of Change,Sid de la Cruz,2,This Is A Major Competition,71951
Beyond Words: Verses of Change,Sid de la Cruz,3,Zane Grey High School,44732
Beyond Words: Verses of Change,Sid de la Cruz,4,Poetry Has Been My Life,58542
Beyond Words: Verses of Change,Sid de la Cruz,5,There's A Lack Of Boys In Poetry,84001
Beyond Words: Verses of Change,Sid de la Cruz,6,Basketball,45012
Beyond Words: Verses of Change,Sid de la Cruz,7,The Classic Slam,106141
Beyond Words: Verses of Change,Sid de la Cruz,8,Competing For The Championship,68265
Beyond Words: Verses of Change,Sid de la Cruz,9,Lunch Break,39288
Beyond Words: Verses of Change,Sid de la Cruz,10,You Made It To Semi Finals,42000
Beyond Words: Verses of Change,Sid de la Cruz,11,I Wrote It Cus I Was Angry,44571
Beyond Words: Verses of Change,Sid de la Cruz,12,I Felt Proud Of Myself,39428
Beyond Words: Verses of Change,Sid de la Cruz,13,I Hate Family Reunions,151714
Beyond Words: Verses of Change,Sid de la Cruz,14,"When I Sat Down, I Felt Shaky",71754
Beyond Words: Verses of Change,Sid de la Cruz,15,"When I Say Spoken, Ya'll Say Word",82983
Beyond Words: Verses of Change,Sid de la Cruz,16,Working With My Partner,55774
Beyond Words: Verses of Change,Sid de la Cruz,17,It's Been Such An Honor,42496
Beyond Words: Verses of Change,Sid de la Cruz,18,1st Place Winners,102741
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,1,The River,96439
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,2,Opening,162299
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,3,We Never Go Anywhere,85103
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,4,Opening Presents,195068
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,5,Vanished,173980
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,6,Where Is My Daughter?,183333
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,7,Knocking On Doors,198461
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,8,They Were Here,100336
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,9,Someone's Out There,116666
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,10,Missing Posters,240923
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,11,Rerouting,251655
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,12,Let Me Out,93594
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,13,DNA,262153
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,14,Beck,176476
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,15,Looking For A Sign,105692
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,16,Let The River Lead,251306
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,17,3000 Acres,106957
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,18,After All These Years,230294
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,19,A Mother's Love,217478
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha,20,Briar,217023
Regreso a Las Sabinas,Arnau Bataller,1,Las Sabinas,139833
Regreso a Las Sabinas,Arnau Bataller,2,Manterana,56403
Regreso a Las Sabinas,Arnau Bataller,3,Amor Apasionado,148666
Regreso a Las Sabinas,Arnau Bataller,4,Miguel y Gracia,95672
Regreso a Las Sabinas,Arnau Bataller,5,Amor Intenso,148474
Regreso a Las Sabinas,Arnau Bataller,6,Dolor íntimo,134500
Regreso a Las Sabinas,Arnau Bataller,7,Reflexiones sobre la vida,178563
Regreso a Las Sabinas,Arnau Bataller,8,Amor culpable,117000
Regreso a Las Sabinas,Arnau Bataller,9,Corazón negro,135613
Regreso a Las Sabinas,Arnau Bataller,10,Paca la intrigas,133000
Regreso a Las Sabinas,Arnau Bataller,11,Asumiendo,109305
Regreso a Las Sabinas,Arnau Bataller,12,La vida pasa,99166
Regreso a Las Sabinas,Arnau Bataller,13,Reflexiones,105508
